Crash Number,Date Time,Day of Week,Object 1,Object 2,Street Number,Street Name,Cross Street,LOCATION,Latitude,Longitude,Coordinates
32664,09/11/2014 04:00:00 PM,Thursday,Auto,Auto,1920,Massachusetts Ave,SOMERVILLE AVE,"1920 Massachusetts Ave Cambridge, MA",42.3890953,-71.1197662,"(42.3890953, -71.1197662)"
32667,09/06/2014 07:16:00 PM,Saturday,Taxi,Fixed Object,50,Vassar St,,"50 Vassar St Cambridge, MA",42.3610954,-71.0929642,"(42.3610954, -71.0929642)"
32669,09/14/2014 10:53:00 PM,Sunday,Auto,Fixed Object,,Sixth St,Binney St,"Sixth St & Binney St Cambridge, MA",42.3661499,-71.0860748,"(42.3661499, -71.0860748)"
32672,09/11/2014 09:02:00 AM,Thursday,Auto,Auto,,FOSTER ST,Gibson St,"FOSTER ST & Gibson St Cambridge, MA",42.3762894,-71.1324005,"(42.3762894, -71.1324005)"
32673,09/11/2014 02:33:00 PM,Thursday,Auto,Auto,163,HURON AVE,,"163 HURON AVE Cambridge, MA",42.3823547,-71.1311111,"(42.3823547, -71.1311111)"
32674,09/11/2014 07:38:00 PM,Thursday,Auto,Auto,,Brattle St,Sparks St,"Brattle St & Sparks St Cambridge, MA",42.3778458,-71.1301651,"(42.3778458, -71.1301651)"
32675,09/11/2014 06:29:00 PM,Thursday,Auto,Bicycle,,Hampshire St,Broadway,"Hampshire St & Broadway Cambridge, MA",42.3654366,-71.0911102,"(42.3654366, -71.0911102)"
32676,09/11/2014 10:10:00 PM,Thursday,Auto,Parked Vehicle,,ELIOT ST,MOUNT AUBURN ST,"ELIOT ST & MOUNT AUBURN ST Cambridge, MA",42.3728676,-71.1213989,"(42.3728676, -71.1213989)"
32677,09/11/2014 10:46:00 PM,Thursday,Auto,Parked Vehicle,,Ash St,Acacia St,"Ash St & Acacia St Cambridge, MA",42.3751297,-71.1247787,"(42.3751297, -71.1247787)"
32678,09/12/2014 02:55:00 AM,Friday,Auto,Auto,,Massachusetts Ave,Sidney St,"Massachusetts Ave & Sidney St Cambridge, MA",42.3629494,-71.0995789,"(42.3629494, -71.0995789)"
32679,09/12/2014 09:22:00 AM,Friday,Auto,Auto,1105,Massachusetts Ave,,"1105 Massachusetts Ave Cambridge, MA",42.3705864,-71.1135788,"(42.3705864, -71.1135788)"
32680,09/12/2014 04:57:00 PM,Friday,Auto,Auto,,Broadway,GREEN ST,"Broadway & GREEN ST Cambridge, MA",0,0,"(0, 0)"
32681,09/12/2014 06:44:00 PM,Friday,Auto,Auto,196,Massachusetts Ave,,"196 Massachusetts Ave Cambridge, MA",0,0,"(0, 0)"
32682,09/14/2014 09:55:00 AM,Sunday,Taxi,Auto,1815,Massachusetts Ave,,"1815 Massachusetts Ave Cambridge, MA",42.3870926,-71.1191635,"(42.3870926, -71.1191635)"
32683,09/14/2014 06:40:00 PM,Sunday,Auto,Auto,844,MAIN ST,,"844 MAIN ST Cambridge, MA",42.3633347,-71.0983963,"(42.3633347, -71.0983963)"
32684,09/14/2014 07:32:00 PM,Sunday,Auto,Auto,,JFK St,,"JFK St Cambridge, MA",0,0,"(0, 0)"
32686,09/15/2014 07:00:00 AM,Monday,Auto,Auto,,MAGNOLIA AVE,MYRTLE AVE,"MAGNOLIA AVE & MYRTLE AVE Cambridge, MA",42.3767204,-71.1064835,"(42.3767204, -71.1064835)"
32687,09/15/2014 09:27:00 AM,Monday,Truck,Pedestrian,,Putnam Ave,Magee St,"Putnam Ave & Magee St Cambridge, MA",42.366394,-71.1135559,"(42.366394, -71.1135559)"
32688,09/15/2014 11:14:00 AM,Monday,Auto,Parked Vehicle,22,Concord Ave,GARDEN ST,"22 Concord Ave Cambridge, MA",42.3791885,-71.1252975,"(42.3791885, -71.1252975)"
