Crash Number,Date Time,Day of Week,Object 1,Object 2,Street Number,Street Name,Cross Street,LOCATION,Latitude,Longitude,Coordinates
32055,04/18/2014 03:38:00 PM,Friday,Auto,Auto,,Auburn St,River St,"Auburn St & River St Cambridge, MA",42.3645744,-71.1066895,"(42.3645744, -71.1066895)"
32056,04/21/2014 12:41:00 PM,Monday,Auto,Auto,637,Concord Ave,,"637 Concord Ave Cambridge, MA",0,0,"(0, 0)"
32057,04/21/2014 06:10:00 PM,Monday,Auto,Fixed Object,844,MAIN ST,,"844 MAIN ST Cambridge, MA",42.3633347,-71.0983963,"(42.3633347, -71.0983963)"
32058,04/21/2014 09:11:00 PM,Monday,Auto,Auto,,Massachusetts Ave,ESSEX ST,"Massachusetts Ave & ESSEX ST Cambridge, MA",42.365078,-71.1031799,"(42.365078, -71.1031799)"
32059,04/20/2014 05:00:00 PM,Saturday,Auto,Auto,148,Richdale Ave,,"148 Richdale Ave Cambridge, MA",42.3891296,-71.1261826,"(42.3891296, -71.1261826)"
32060,04/21/2014 11:00:00 AM,Monday,Auto,Auto,,HARVARD ST,HANCOCK ST,"HARVARD ST & HANCOCK ST Cambridge, MA",42.3700485,-71.1068878,"(42.3700485, -71.1068878)"
32061,04/21/2014 07:15:00 PM,Monday,Auto,Auto,625,MOUNT AUBURN ST,,"625 MOUNT AUBURN ST Cambridge, MA",42.3751373,-71.1467896,"(42.3751373, -71.1467896)"
32062,04/22/2014 03:08:00 PM,Tuesday,Auto,Auto,,MAGAZINE ST,PRINCE ST,"MAGAZINE ST & PRINCE ST Cambridge, MA",42.3602715,-71.1098099,"(42.3602715, -71.1098099)"
32063,04/22/2014 09:30:00 PM,Tuesday,Taxi,Auto,,Broadway,Columbia St,"Broadway & Columbia St Cambridge, MA",42.3678703,-71.0973587,"(42.3678703, -71.0973587)"
32064,04/22/2014 08:47:00 PM,Tuesday,Auto,Pedestrian,,HARVARD ST,QUINCY ST,"HARVARD ST & QUINCY ST Cambridge, MA",42.3723068,-71.1151505,"(42.3723068, -71.1151505)"
32065,04/23/2014 10:05:00 PM,Wednesday,Auto,Fixed Object,,HOWARD ST,Western Ave,"HOWARD ST & Western Ave Cambridge, MA",42.3647499,-71.1107712,"(42.3647499, -71.1107712)"
32066,04/24/2014 07:48:00 AM,Thursday,Auto,Bicycle,,Brattle St,MASON ST,"Brattle St & MASON ST Cambridge, MA",42.375988,-71.1246109,"(42.375988, -71.1246109)"
32067,04/24/2014 10:50:00 AM,Thursday,Auto,Bicycle,,Broadway,DAVIS ST,"Broadway & DAVIS ST Cambridge, MA",42.3660202,-71.0926437,"(42.3660202, -71.0926437)"
32068,04/24/2014 05:19:00 PM,Thursday,Auto,Auto,,Brookline St,Sidney St,"Brookline St & Sidney St Cambridge, MA",0,0,"(0, 0)"
32069,04/24/2014 01:44:00 PM,Thursday,Auto,Pedestrian,,Massachusetts Ave,Norfolk St,"Massachusetts Ave & Norfolk St Cambridge, MA",42.3644257,-71.1020813,"(42.3644257, -71.1020813)"
32070,04/24/2014 08:32:00 AM,Thursday,Auto,Pedestrian,,FIRST ST,Cambridgeside Pl,"FIRST ST & Cambridgeside Pl Cambridge, MA",42.3672295,-71.0777206,"(42.3672295, -71.0777206)"
32071,04/24/2014 06:30:00 AM,Thursday,Auto,Parked Vehicle,,Peabody St,Massachusetts Ave,"Peabody St & Massachusetts Ave Cambridge, MA",42.3740692,-71.1188354,"(42.3740692, -71.1188354)"
32072,04/24/2014 07:00:00 AM,Thursday,Auto,Parked Vehicle,205,Alewife Brook Pky,,"205 Alewife Brook Pky Cambridge, MA",42.3897743,-71.142395,"(42.3897743, -71.142395)"
32073,04/24/2014 05:00:00 PM,Thursday,Auto,Bicycle,,Massachusetts Ave,Russell St,"Massachusetts Ave & Russell St Cambridge, MA",42.391758,-71.1238861,"(42.391758, -71.1238861)"
32074,04/25/2014 03:25:00 PM,Friday,Auto,Auto,,Massachusetts Ave,EVERETT ST,"Massachusetts Ave & EVERETT ST Cambridge, MA",42.3799896,-71.1199265,"(42.3799896, -71.1199265)"
32075,04/25/2014 10:30:00 PM,Friday,Auto,Auto,872,Massachusetts Ave,,"872 Massachusetts Ave Cambridge, MA",42.3677368,-71.1075363,"(42.3677368, -71.1075363)"
32076,04/25/2014 04:20:00 PM,Friday,Auto,Auto,,Third St,SPRING ST,"Third St & SPRING ST Cambridge, MA",42.3689651,-71.0803223,"(42.3689651, -71.0803223)"
32077,04/26/2014 02:25:00 PM,Saturday,Auto,Auto,101,Brattle St,HAWTHORNE ST,"101 Brattle St Cambridge, MA",42.3763275,-71.1260529,"(42.3763275, -71.1260529)"
32078,04/26/2014 03:25:00 PM,Saturday,Auto,Auto,,Aberdeen Ct,HURON AVE,"Aberdeen Ct & HURON AVE Cambridge, MA",42.3787613,-71.1472931,"(42.3787613, -71.1472931)"
32079,04/27/2014 03:16:00 AM,Sunday,Taxi,Auto,1238,Massachusetts Ave,Bow St,"1238 Massachusetts Ave Cambridge, MA",42.3725357,-71.1159897,"(42.3725357, -71.1159897)"
32080,04/24/2014 08:00:00 PM,Thursday,Auto,Parked Vehicle,62,Jackson St,,"62 Jackson St Cambridge, MA",42.3953857,-71.1352539,"(42.3953857, -71.1352539)"
32081,04/29/2014 07:49:00 AM,Tuesday,Auto,Auto,1922,Massachusetts Ave,,"1922 Massachusetts Ave Cambridge, MA",0,0,"(0, 0)"
32082,04/29/2014 05:55:00 PM,Tuesday,Auto,Auto,,GREEN ST,Western Ave,"GREEN ST & Western Ave Cambridge, MA",42.3652687,-71.1050262,"(42.3652687, -71.1050262)"
32083,04/29/2014 08:43:00 PM,Tuesday,Auto,Parked Vehicle,82,Willow St,,"82 Willow St Cambridge, MA",42.3718719,-71.0922165,"(42.3718719, -71.0922165)"
32084,04/30/2014 08:00:00 AM,Wednesday,Auto,Auto,,FULKERSON ST,Rogers St,"FULKERSON ST & Rogers St Cambridge, MA",42.3671341,-71.0880508,"(42.3671341, -71.0880508)"
32085,04/30/2014 07:00:00 PM,Wednesday,Auto,Auto,,Broadway,Columbia St,"Broadway & Columbia St Cambridge, MA",42.3678703,-71.0973587,"(42.3678703, -71.0973587)"
32086,04/30/2014 07:57:00 PM,Wednesday,Auto,Fixed Object,1899,Massachusetts Ave,SOMERVILLE AVE,"1899 Massachusetts Ave Cambridge, MA",42.3885727,-71.1195374,"(42.3885727, -71.1195374)"
32088,04/30/2014 10:41:00 AM,Wednesday,Auto,Pedestrian,,OXFORD AVE,EVERETT ST,"OXFORD AVE & EVERETT ST Cambridge, MA",42.3798218,-71.1165085,"(42.3798218, -71.1165085)"
32089,05/01/2014 12:00:00 AM,Thursday,Auto,Parked Vehicle,37,SAVILLE ST,,"37 SAVILLE ST Cambridge, MA",42.3833733,-71.134819,"(42.3833733, -71.134819)"
32090,05/01/2014 01:08:00 PM,Thursday,Auto,Bus (Other),,Massachusetts Ave,GARDEN ST,"Massachusetts Ave & GARDEN ST Cambridge, MA",42.3754883,-71.1199188,"(42.3754883, -71.1199188)"
32091,05/01/2014 07:25:00 PM,Thursday,Auto,Parked Vehicle,174,Appleton St,,"174 Appleton St Cambridge, MA",42.3821297,-71.1337814,"(42.3821297, -71.1337814)"
32092,05/01/2014 01:41:00 PM,Thursday,Auto,Auto,,Third St,SPRING ST,"Third St & SPRING ST Cambridge, MA",42.3689651,-71.0803223,"(42.3689651, -71.0803223)"
32093,01/01/2014 11:35:00 AM,Thursday,Auto,Auto,,Bishop Allen Dr,PROSPECT ST,"Bishop Allen Dr & PROSPECT ST Cambridge, MA",42.3663445,-71.103157,"(42.3663445, -71.103157)"
32094,05/02/2014 05:21:00 PM,Friday,Auto,Auto,,Brookline St,Waverly St,"Brookline St & Waverly St Cambridge, MA",42.355175,-71.1102753,"(42.355175, -71.1102753)"
32095,05/03/2014 11:46:00 AM,Saturday,Auto,Auto,,Hampshire St,PROSPECT ST,"Hampshire St & PROSPECT ST Cambridge, MA",42.3722038,-71.0989761,"(42.3722038, -71.0989761)"
32096,05/03/2014 02:00:00 PM,Saturday,Auto,Auto,1626,Massachusetts Ave,,"1626 Massachusetts Ave Cambridge, MA",42.3808327,-71.1198349,"(42.3808327, -71.1198349)"
32097,05/03/2014 07:20:00 PM,Saturday,Auto,Auto,,Massachusetts Ave,PEARL ST,"Massachusetts Ave & PEARL ST Cambridge, MA",42.3647118,-71.1025696,"(42.3647118, -71.1025696)"
32098,05/03/2014 08:21:00 PM,Saturday,Auto,Miscellaneous,5,Cowperthwaite St,,"5 Cowperthwaite St Cambridge, MA",42.3689613,-71.1159515,"(42.3689613, -71.1159515)"
32099,05/04/2014 05:35:00 PM,Sunday,Auto,Auto,,River St,Franklin St,"River St & Franklin St Cambridge, MA",42.3648911,-71.1058044,"(42.3648911, -71.1058044)"
32100,05/05/2014 12:00:00 PM,Monday,Taxi,Auto,,Massachusetts Ave,,"Massachusetts Ave Cambridge, MA",0,0,"(0, 0)"
32101,05/05/2014 12:30:00 PM,Monday,Auto,Fixed Object,,GARDEN ST,Massachusetts Ave,"GARDEN ST & Massachusetts Ave Cambridge, MA",42.3754883,-71.1199188,"(42.3754883, -71.1199188)"
32102,05/06/2014 08:00:00 AM,Tuesday,Auto,Auto,,Cardinal Medeiros Ave,Binney St,"Cardinal Medeiros Ave & Binney St Cambridge, MA",42.3677368,-71.0909576,"(42.3677368, -71.0909576)"
32103,05/06/2014 08:05:00 AM,Tuesday,Auto,Bicycle,838,Massachusetts Ave,,"838 Massachusetts Ave Cambridge, MA",42.3673058,-71.1068344,"(42.3673058, -71.1068344)"
32104,05/04/2014 02:30:00 PM,Sunday,Auto,Pedestrian,100,Cambridgeside Pl,,"100 Cambridgeside Pl Cambridge, MA",42.3670807,-71.0765686,"(42.3670807, -71.0765686)"
32105,05/06/2014 12:45:00 PM,Tuesday,Taxi,Auto,,Camelia Ave,Cambridge St,"Camelia Ave & Cambridge St Cambridge, MA",42.3742828,-71.1051407,"(42.3742828, -71.1051407)"
32107,05/06/2014 01:30:00 PM,Tuesday,Auto,Auto,410,Franklin St,,"410 Franklin St Cambridge, MA",42.3667221,-71.1089478,"(42.3667221, -71.1089478)"
32108,05/06/2014 08:54:00 AM,Tuesday,Auto,Bicycle,,Columbia St,Hampshire St,"Columbia St & Hampshire St Cambridge, MA",42.369915,-71.0961914,"(42.369915, -71.0961914)"
32109,05/07/2014 10:15:00 AM,Wednesday,Auto,Auto,10,Rogers St,,"10 Rogers St Cambridge, MA",42.3657913,-71.0773392,"(42.3657913, -71.0773392)"
32110,04/14/2014 07:53:00 AM,Wednesday,Auto,Auto,,Massachusetts Ave,DAVENPORT ST,"Massachusetts Ave & DAVENPORT ST Cambridge, MA",42.3894196,-71.1200333,"(42.3894196, -71.1200333)"
32111,04/15/2014 09:36:00 PM,Tuesday,Auto,Taxi,600,Massachusetts Ave,Temple St,"600 Massachusetts Ave Cambridge, MA",42.3649368,-71.102951,"(42.3649368, -71.102951)"
32112,04/19/2014 03:41:00 AM,Saturday,Auto,Auto,991,Massachusetts Ave,,"991 Massachusetts Ave Cambridge, MA",42.3692741,-71.1110535,"(42.3692741, -71.1110535)"
32113,04/19/2014 07:14:00 PM,Saturday,Auto,Auto,,MAGAZINE ST,William St,"MAGAZINE ST & William St Cambridge, MA",42.3635406,-71.1062088,"(42.3635406, -71.1062088)"
32114,04/20/2014 03:27:00 PM,Sunday,Auto,Auto,22,Acorn St,Chestnut St,"22 Acorn St Cambridge, MA",42.39785,-71.147377,"(42.39785, -71.147377)"
32115,04/25/2014 03:00:00 PM,Friday,Auto,Parked Vehicle,628,GREEN ST,,"628 GREEN ST Cambridge, MA",42.3688469,-71.1122284,"(42.3688469, -71.1122284)"
32116,04/26/2014 05:14:00 PM,Saturday,Auto,Auto,8,ORCHARD ST,DAVENPORT ST,"8 ORCHARD ST Cambridge, MA",42.3902969,-71.1191635,"(42.3902969, -71.1191635)"
32117,04/26/2014 06:54:00 PM,Saturday,Auto,Motorcycle,173,HARVARD ST,,"173 HARVARD ST Cambridge, MA",0,0,"(0, 0)"
32119,04/28/2014 09:30:00 PM,Monday,Auto,Auto,330,River St,,"330 River St Cambridge, MA",42.3621368,-71.1139297,"(42.3621368, -71.1139297)"
32120,05/06/2014 02:40:00 AM,Tuesday,Auto,Auto,44,Webster Ave,,"44 Webster Ave Cambridge, MA",42.3677177,-71.0926666,"(42.3677177, -71.0926666)"
32121,05/06/2014 01:30:00 PM,Tuesday,Auto,Parked Vehicle,410,Franklin St,,"410 Franklin St Cambridge, MA",42.3667221,-71.1089478,"(42.3667221, -71.1089478)"
32122,05/02/2014 09:05:00 AM,Friday,Auto,Bicycle,335,Broadway,,"335 Broadway Cambridge, MA",42.3699226,-71.1025543,"(42.3699226, -71.1025543)"
32123,04/15/2014 02:07:00 PM,Tuesday,Auto,Auto,,Bent St,FULKERSON ST,"Bent St & FULKERSON ST Cambridge, MA",42.367836,-71.0878906,"(42.367836, -71.0878906)"
32124,04/30/2014 02:31:00 PM,Wednesday,Auto,Auto,119,Windsor St,,"119 Windsor St Cambridge, MA",42.3648338,-71.0962753,"(42.3648338, -71.0962753)"
32125,05/08/2014 10:50:00 AM,Thursday,Auto,Parked Vehicle,29,GARDEN ST,Chauncy St,"29 GARDEN ST Cambridge, MA",42.3789482,-71.1241608,"(42.3789482, -71.1241608)"
32126,04/30/2014 02:31:00 PM,Wednesday,Auto,Fixed Object,119,Windsor St,,"119 Windsor St Cambridge, MA",42.3648338,-71.0962753,"(42.3648338, -71.0962753)"
32127,05/01/2014 05:00:00 PM,Thursday,Auto,Parked Vehicle,,ESSEX ST,,"ESSEX ST Cambridge, MA",0,0,"(0, 0)"
32128,05/02/2014 09:05:00 AM,Wednesday,Auto,Bicycle,355,Broadway,,"355 Broadway Cambridge, MA",0,0,"(0, 0)"
32129,05/06/2014 08:35:00 AM,Tuesday,Auto,Bicycle,,Cambridge St,PROSPECT ST,"Cambridge St & PROSPECT ST Cambridge, MA",42.3733788,-71.0981369,"(42.3733788, -71.0981369)"
32130,05/07/2014 10:15:00 AM,Wednesday,Auto,Auto,10,Rogers St,,"10 Rogers St Cambridge, MA",42.3657913,-71.0773392,"(42.3657913, -71.0773392)"
32131,05/07/2014 07:23:00 PM,Wednesday,Auto,Auto,,Massachusetts Ave,ROSELAND ST,"Massachusetts Ave & ROSELAND ST Cambridge, MA",42.3868217,-71.1191788,"(42.3868217, -71.1191788)"
32132,05/07/2014 08:35:00 AM,Wednesday,Auto,Auto,580,MOUNT AUBURN ST,,"580 MOUNT AUBURN ST Cambridge, MA",42.3753853,-71.1426773,"(42.3753853, -71.1426773)"
32133,05/07/2014 06:45:00 PM,Wednesday,Auto,Auto,517,Concord Ave,,"517 Concord Ave Cambridge, MA",42.387085,-71.1416245,"(42.387085, -71.1416245)"
32134,05/08/2014 12:15:00 PM,Thursday,Auto,Auto,,Carleton St,Amherst St,"Carleton St & Amherst St Cambridge, MA",42.3604317,-71.0863876,"(42.3604317, -71.0863876)"
32135,05/08/2014 12:05:00 PM,Thursday,Auto,Fixed Object,12,OXFORD AVE,,"12 OXFORD AVE Cambridge, MA",42.3764,-71.1157532,"(42.3764, -71.1157532)"
32136,05/08/2014 10:30:00 AM,Thursday,Auto,Parked Vehicle,,GARDEN ST,Concord Ave,"GARDEN ST & Concord Ave Cambridge, MA",42.3783264,-71.1237106,"(42.3783264, -71.1237106)"
32137,05/07/2014 02:01:00 PM,Wednesday,Auto,Parked Vehicle,,Gore St,FIFTH ST,"Gore St & FIFTH ST Cambridge, MA",42.3721428,-71.0829697,"(42.3721428, -71.0829697)"
32139,04/26/2014 02:09:00 PM,Saturday,Auto,Auto,,MOUNT AUBURN ST,Ash St,"MOUNT AUBURN ST & Ash St Cambridge, MA",42.3742943,-71.1254883,"(42.3742943, -71.1254883)"
32140,04/28/2014 09:11:00 AM,Monday,Auto,Auto,1868,Massachusetts Ave,,"1868 Massachusetts Ave Cambridge, MA",42.3877716,-71.1192932,"(42.3877716, -71.1192932)"
32141,05/10/2014 04:19:00 PM,Saturday,Auto,Pedestrian,,Massachusetts Ave,ESSEX ST,"Massachusetts Ave & ESSEX ST Cambridge, MA",42.365078,-71.1031799,"(42.365078, -71.1031799)"
32143,05/09/2014 12:00:00 AM,Friday,Auto,Pedestrian,25,Winter St,,"25 Winter St Cambridge, MA",42.3725128,-71.0804596,"(42.3725128, -71.0804596)"
32144,05/09/2014 09:26:00 PM,Friday,Auto,Fixed Object,41,Second St,,"41 Second St Cambridge, MA",0,0,"(0, 0)"
32145,05/10/2014 04:15:00 PM,Saturday,Auto,Auto,,Brattle St,Sparks St,"Brattle St & Sparks St Cambridge, MA",42.3778458,-71.1301651,"(42.3778458, -71.1301651)"
32146,05/09/2014 08:10:00 AM,Friday,Taxi,Bicycle,,Broadway,Cambridge Ctr,"Broadway & Cambridge Ctr Cambridge, MA",42.3756142,-71.1157303,"(42.3756142, -71.1157303)"
32147,05/09/2014 01:32:00 PM,Friday,Auto,Auto,,ELIOT ST,Kennedy Rd,"ELIOT ST & Kennedy Rd Cambridge, MA",0,0,"(0, 0)"
32148,05/09/2014 06:40:00 PM,Friday,Auto,Auto,,Cambridge St,Third St,"Cambridge St & Third St Cambridge, MA",42.3710213,-71.0798492,"(42.3710213, -71.0798492)"
32149,05/10/2014 08:18:00 PM,Saturday,Auto,Auto,,PLEASANT ST,GREEN ST,"PLEASANT ST & GREEN ST Cambridge, MA",42.3658714,-71.1060257,"(42.3658714, -71.1060257)"
32150,05/11/2014 12:21:00 PM,Sunday,Auto,Auto,,Cambridge St,Windsor St,"Cambridge St & Windsor St Cambridge, MA",42.3727493,-71.0932846,"(42.3727493, -71.0932846)"
32151,05/08/2014 12:04:00 PM,Thursday,Auto,Auto,53,White St,,"53 White St Cambridge, MA",42.3896217,-71.1170273,"(42.3896217, -71.1170273)"
32152,05/09/2014 11:19:00 PM,Friday,Auto,Auto,,Massachusetts Ave,Alewife Brook Pky,"Massachusetts Ave & Alewife Brook Pky Cambridge, MA",42.4009361,-71.1360016,"(42.4009361, -71.1360016)"
32153,05/09/2014 08:10:00 AM,Friday,Auto,Auto,,Broadway,Cambridge Ctr,"Broadway & Cambridge Ctr Cambridge, MA",42.3756142,-71.1157303,"(42.3756142, -71.1157303)"
32154,05/12/2014 08:40:00 AM,Monday,Auto,Pedestrian,,GROVE AVE,HURON AVE,"GROVE AVE & HURON AVE Cambridge, MA",42.3822289,-71.1579361,"(42.3822289, -71.1579361)"
32155,05/12/2014 01:45:00 PM,Monday,Auto,Auto,,Albany St,Portland St,"Albany St & Portland St Cambridge, MA",42.3617287,-71.0939789,"(42.3617287, -71.0939789)"
32156,05/09/2014 06:40:00 PM,Friday,Auto,Auto,,Cambridge St,Third St,"Cambridge St & Third St Cambridge, MA",42.3710213,-71.0798492,"(42.3710213, -71.0798492)"
32157,05/12/2014 11:10:00 AM,Monday,Auto,Auto,,Athenaeum St,FIRST ST,"Athenaeum St & FIRST ST Cambridge, MA",42.3638573,-71.0785446,"(42.3638573, -71.0785446)"
32158,05/13/2014 11:02:00 AM,Tuesday,Auto,Auto,89,SPRING ST,,"89 SPRING ST Cambridge, MA",42.3691826,-71.0820236,"(42.3691826, -71.0820236)"
32159,05/11/2014 01:00:00 PM,Sunday,Auto,Parked Vehicle,200,Alewife Brook Pky,,"200 Alewife Brook Pky Cambridge, MA",42.3897934,-71.1423798,"(42.3897934, -71.1423798)"
32160,05/09/2014 02:00:00 AM,Friday,Auto,Auto,40,JFK St,,"40 JFK St Cambridge, MA",42.3725929,-71.1201248,"(42.3725929, -71.1201248)"
32161,05/12/2014 07:57:00 AM,Monday,Auto,Auto,,MOUNT AUBURN ST,FRESH POND PKY,"MOUNT AUBURN ST & FRESH POND PKY Cambridge, MA",42.3747597,-71.1380768,"(42.3747597, -71.1380768)"
32162,05/13/2014 10:05:00 AM,Tuesday,Auto,Auto,400,Cardinal Medeiros Ave,,"400 Cardinal Medeiros Ave Cambridge, MA",42.3716736,-71.0887146,"(42.3716736, -71.0887146)"
32163,05/13/2014 09:00:00 PM,Tuesday,Auto,Auto,,JFK St,MEMORIAL DR,"JFK St & MEMORIAL DR Cambridge, MA",42.3698044,-71.1224594,"(42.3698044, -71.1224594)"
32164,05/14/2014 10:30:00 AM,Wednesday,MBTA Bus,Truck,,MOUNT AUBURN ST,HOMER AVE,"MOUNT AUBURN ST & HOMER AVE Cambridge, MA",42.3749657,-71.1480179,"(42.3749657, -71.1480179)"
32165,05/14/2014 04:41:00 PM,Thursday,Auto,Fixed Object,,Callender St,Putnam Ave,"Callender St & Putnam Ave Cambridge, MA",42.3655853,-71.113678,"(42.3655853, -71.113678)"
32166,05/14/2014 05:31:00 PM,Thursday,Auto,Auto,108,Columbia St,HARVARD ST,"108 Columbia St Cambridge, MA",42.3660622,-71.0983887,"(42.3660622, -71.0983887)"
32167,05/15/2014 11:00:00 AM,Thursday,Pedestrian,Auto,,Massachusetts Ave,Brookline St,"Massachusetts Ave & Brookline St Cambridge, MA",42.3640137,-71.101387,"(42.3640137, -71.101387)"
32168,05/15/2014 02:00:00 PM,Thursday,Auto,Auto,,Massachusetts Ave,Hadley St,"Massachusetts Ave & Hadley St Cambridge, MA",42.3911591,-71.1228027,"(42.3911591, -71.1228027)"
32169,05/15/2014 02:10:00 PM,Thursday,Bicycle,Parked Vehicle,2100,Massachusetts Ave,,"2100 Massachusetts Ave Cambridge, MA",42.3917465,-71.1238632,"(42.3917465, -71.1238632)"
32170,05/15/2014 11:30:00 PM,Thursday,Taxi,Fixed Object,,Massachusetts Ave,Hollis St,"Massachusetts Ave & Hollis St Cambridge, MA",42.3946533,-71.1271515,"(42.3946533, -71.1271515)"
32171,05/16/2014 12:00:00 AM,Friday,Auto,Auto,48,Warren St,,"48 Warren St Cambridge, MA",42.3736343,-71.0878525,"(42.3736343, -71.0878525)"
32172,05/16/2014 11:05:00 AM,Friday,Auto,Parked Vehicle,1,White St,,"1 White St Cambridge, MA",42.3891296,-71.1179504,"(42.3891296, -71.1179504)"
32173,05/16/2014 01:50:00 PM,Friday,Auto,Auto,,FIRST ST,Rogers Ct,"FIRST ST & Rogers Ct Cambridge, MA",42.3658791,-71.0780334,"(42.3658791, -71.0780334)"
32174,05/16/2014 02:40:00 PM,Friday,Auto,Truck,219,Vassar St,,"219 Vassar St Cambridge, MA",42.3564148,-71.102478,"(42.3564148, -71.102478)"
32175,05/16/2014 05:25:00 PM,Friday,Auto,Auto,,Hampshire St,PROSPECT ST,"Hampshire St & PROSPECT ST Cambridge, MA",42.3722038,-71.0989761,"(42.3722038, -71.0989761)"
32176,05/16/2014 06:04:00 PM,Friday,Auto,Pedestrian,485,Massachusetts Ave,,"485 Massachusetts Ave Cambridge, MA",42.3639565,-71.1012878,"(42.3639565, -71.1012878)"
32177,05/17/2014 05:16:00 AM,Saturday,Auto,Auto,205,Richdale Ave,,"205 Richdale Ave Cambridge, MA",42.3894501,-71.1287231,"(42.3894501, -71.1287231)"
32178,05/16/2014 05:00:00 PM,Friday,Auto,Parked Vehicle,63,OXFORD AVE,Wendell St,"63 OXFORD AVE Cambridge, MA",42.3772507,-71.1558533,"(42.3772507, -71.1558533)"
32179,05/16/2014 06:06:00 PM,Friday,Auto,Auto,,Charles St,Second St,"Charles St & Second St Cambridge, MA",42.3674431,-71.0793839,"(42.3674431, -71.0793839)"
32180,05/17/2014 12:59:00 AM,Saturday,Auto,Auto,,ELLERY ST,Broadway,"ELLERY ST & Broadway Cambridge, MA",42.3727531,-71.109726,"(42.3727531, -71.109726)"
32181,05/17/2014 04:00:00 AM,Saturday,Auto,Auto,,Cambridge St,QUINCY ST,"Cambridge St & QUINCY ST Cambridge, MA",42.375473,-71.1143188,"(42.375473, -71.1143188)"
32182,05/18/2014 06:42:00 PM,Sunday,Truck,Parked Vehicle,252,Windsor St,,"252 Windsor St Cambridge, MA",42.3675957,-71.0952301,"(42.3675957, -71.0952301)"
32183,05/16/2014 02:15:00 PM,Friday,Auto,Auto,6 3,OXFORD AVE,,"6 3 OXFORD AVE Cambridge, MA",0,0,"(0, 0)"
32184,05/17/2014 04:00:00 AM,Saturday,Auto,Auto,,Cambridge St,QUINCY ST,"Cambridge St & QUINCY ST Cambridge, MA",42.375473,-71.1143188,"(42.375473, -71.1143188)"
32185,05/17/2014 07:07:00 PM,Saturday,Taxi,Fixed Object,,Massachusetts Ave,Cambridge St,"Massachusetts Ave & Cambridge St Cambridge, MA",42.3768005,-71.1198044,"(42.3768005, -71.1198044)"
32186,05/18/2014 03:00:00 PM,Sunday,Auto,Bicycle,,Brattle St,Longfellow Park,"Brattle St & Longfellow Park Cambridge, MA",42.3764877,-71.1267242,"(42.3764877, -71.1267242)"
32187,05/18/2014 01:20:00 PM,Sunday,Auto,Auto,,GARDEN ST,Massachusetts Ave,"GARDEN ST & Massachusetts Ave Cambridge, MA",42.3754883,-71.1199188,"(42.3754883, -71.1199188)"
32188,05/18/2014 02:45:00 PM,Sunday,Auto,Auto,29,GARDEN ST,,"29 GARDEN ST Cambridge, MA",42.3789482,-71.1241608,"(42.3789482, -71.1241608)"
32189,05/19/2014 07:30:00 PM,Monday,Auto,Bicycle,,Western Ave,Putnam Ave,"Western Ave & Putnam Ave Cambridge, MA",42.3644829,-71.1138916,"(42.3644829, -71.1138916)"
32190,05/19/2014 05:12:00 PM,Monday,Auto,Parked Vehicle,306,Webster Ave,,"306 Webster Ave Cambridge, MA",42.3732491,-71.094429,"(42.3732491, -71.094429)"
32191,05/19/2014 10:07:00 PM,Monday,Auto,Auto,49,White St,,"49 White St Cambridge, MA",42.3895836,-71.1171036,"(42.3895836, -71.1171036)"
32192,05/19/2014 10:59:00 PM,Monday,Auto,Auto,,Massachusetts Ave,Cambridge St,"Massachusetts Ave & Cambridge St Cambridge, MA",42.3768005,-71.1198044,"(42.3768005, -71.1198044)"
32193,05/20/2014 11:15:00 AM,Tuesday,Auto,Auto,,Massachusetts Ave,Amherst St,"Massachusetts Ave & Amherst St Cambridge, MA",42.3581886,-71.0930862,"(42.3581886, -71.0930862)"
32194,05/20/2014 06:21:00 PM,Tuesday,Auto,Auto,,Inman St,Massachusetts Ave,"Inman St & Massachusetts Ave Cambridge, MA",42.3665886,-71.1056824,"(42.3665886, -71.1056824)"
32195,05/20/2014 10:25:00 PM,Tuesday,Auto,Auto,7,Woodbridge St,Massachusetts Ave,"7 Woodbridge St Cambridge, MA",42.3956909,-71.1282578,"(42.3956909, -71.1282578)"
32196,05/21/2014 08:01:00 AM,Wednesday,Auto,Auto,,Massachusetts Ave,Allen St,"Massachusetts Ave & Allen St Cambridge, MA",42.3898773,-71.1204987,"(42.3898773, -71.1204987)"
32197,05/21/2014 08:56:00 PM,Wednesday,Auto,Auto,,Massachusetts Ave,DAVENPORT ST,"Massachusetts Ave & DAVENPORT ST Cambridge, MA",42.3894196,-71.1200333,"(42.3894196, -71.1200333)"
32198,05/22/2014 02:25:00 PM,Thursday,Auto,Auto,,Concord Ave,SPINELLI PL,"Concord Ave & SPINELLI PL Cambridge, MA",42.3905449,-71.154007,"(42.3905449, -71.154007)"
32199,05/22/2014 04:00:00 PM,Thursday,Auto,Parked Vehicle,,SAVILLE ST,Appleton St,"SAVILLE ST & Appleton St Cambridge, MA",42.3827209,-71.1334152,"(42.3827209, -71.1334152)"
32200,05/23/2014 05:52:00 PM,Friday,Auto,Auto,,HURON AVE,HOLLY AVE,"HURON AVE & HOLLY AVE Cambridge, MA",42.3830719,-71.1302185,"(42.3830719, -71.1302185)"
32201,05/23/2014 12:00:00 AM,Friday,Auto,Parked Vehicle,80,FAWCETT ST,,"80 FAWCETT ST Cambridge, MA",42.3919754,-71.1461487,"(42.3919754, -71.1461487)"
